0.9550000000	mountain view
0.8033333333	domain names
0.7506865117	cnc
0.7404561032	microsoft
0.7329728930	aurora
0.7321295791	windows
0.7305268405	china
0.7118642288	botnet
0.7078496711	family
0.6990014908	internet
0.6923333333	aurora botnet page
0.6901708115	malware
0.6877497324	dns
0.6806791179	trojan
0.6787301692	mx
0.6629469620	cnc_domain
0.6567813430	av
0.6536525159	control
0.6502487809	advanced
0.6482202681	infection
0.6479911485	exe
0.6420851554	hydraq
0.6410376643	ip
0.6383967288	threat
0.6314422580	service
0.6287956626	google
0.6240396765	ddns
0.6224902574	techniques
0.6224902574	information
0.6220203578	samples
0.6201195867	apt
0.6193208984	data
0.6176308095	public
0.6126514483	august
0.6112111092	software
0.6058212800	hosts
0.6041340116	december
0.6037276210	analysis
0.5945050388	january
0.5939366963	damballas
0.5915200228	explorer
0.5912114612	damballa
0.5906696200	based
0.5902786353	servers
0.5900720798	server
0.5866431215	services
0.5845540677	main
0.5821243132	components
0.5821243132	authority
0.5821243132	professional
0.5787729897	november
0.5778277203	key
0.5777590109	evolution
0.5742781923	security
0.5742781923	malicious
0.5742781923	email
0.5723223218	traffic
0.5666940525	remote
0.5647392739	fake
0.5626666667	zero day
0.5623597136	systems
0.5621994784	figure
0.5619202464	access
0.5619202464	number
0.5619202464	publicly
0.5618127992	tools
0.5616796429	recursive
0.5601604043	network
0.5590014773	query
0.5576772731	file
0.5532913285	criminal
0.5517181154	additional
0.5510806982	behavior
0.5498460955	host
0.5498027266	component
0.5488098572	common
0.5485161552	command
0.5470000924	files
0.5469558439	multiple
0.5456666667	command structure
0.5442635236	variants
0.5437362546	lookups
0.5425299057	family1
0.5384496291	run
0.5378167304	resolution
0.5357342899	protection
0.5342916478	networks
0.5333333333	criminal operators
0.5320528926	typically
0.5311795856	identified
0.5302031472	table
0.5279280279	domains
0.5271146815	domain
0.5249783646	info
0.5249783646	org
0.5249783646	active
0.5249783646	infected
0.5249783646	compromised
0.5234807187	operator
0.5233939617	view
0.5220790251	operation
0.5198374928	botnets
0.5184112244	dropper
0.5171445577	dropped
0.4902486724	names
0.4879977091	queries
0.4813882608	families
0.4804242149	victim
0.4786666667	associated with
0.4736666667	of the aurora botnet
0.4732713309	attack
0.4618079943	victims
0.4617240495	attacks
0.4536646928	page
0.4307583576	operators
0.4246666667	operators behind
0.4093333333	command structure of
0.3950000000	operation aurora
0.3876666667	have been
0.3813333333	based upon
0.3559246035	it
0.3468176431	the
0.3453424859	by
0.3400162636	us
0.3396666667	the same
0.3368538824	x
0.3366666667	cnc domains
0.3261313594	of
0.3254249835	2009
0.3236666667	malware families
0.3202608052	some
0.3194478338	is
0.3185936051	upon
0.3174000068	5
0.3112875685	behind
0.3069686444	to
0.3058179570	used
0.3016666667	botnet operators
0.3011271343	c
0.2996666667	cnc domain
0.2992616755	with
0.2986904617	zero
0.2986904617	appear
0.2966759529	below
0.2956666667	august 2009
0.2945925060	has
0.2939737967	12
0.2910075128	no
0.2908699920	day
0.2901011473	use
0.2900000000	has been
0.2894014719	3
0.2878501444	be
0.2866617509	only
0.2841995969	15
0.2827690236	when
0.2817293420	how
0.2816556264	a
0.2800000000	aurora botnet
0.2798046052	there
0.2796612380	associated
0.2794494150	as
0.2791180784	have
0.2785905369	system
0.2784561953	one
0.2752352905	14
0.2740660154	both
0.2740660154	back
0.2732052618	uses
0.2732052618	such
0.2690280657	may
0.2683532326	do
0.2668793346	since
0.2653043932	before
0.2651477618	time
0.2651477618	each
0.2628240784	but
0.2622719610	most
0.2622719610	several
0.2618557268	this
0.2596194133	had
0.2578066762	more
0.2574474206	name
0.2571279830	two
0.2557749953	all
0.2553448881	g
0.2553448881	through
0.2545572586	in
0.2525118100	up
0.2525118100	being
0.2520478917	at
0.2508255519	these
0.2507978917	its
0.2504484421	over
0.2500056541	18
0.2486628368	4
0.2483859741	they
0.2459039363	\
0.2436666667	structure of
0.2421331304	and
0.2409136284	into
0.2409136284	new
0.2409136284	any
0.2389881972	that
0.2372436160	which
0.2357342963	been
0.2331888231	for
0.2330102827	first
0.2274578975	2
0.2237431928	e
0.2237431928	within
0.2234170971	an
0.2201431928	2010
0.2201431928	can
0.2148125580	from
0.2148125580	are
0.2143019197	or
0.2142677826	were
0.2138431928	1
0.2123333333	2009 12
0.2108704665	com
0.2108704665	using
0.2108704665	also
0.2090307477	other
0.2090307477	not
0.2085020454	was
0.2075020454	different
0.2072753673	their
0.2069605321	on
0.1783333333	some of the
0.1713333333	2009 family
0.1040000000	used by
0.0840000000	analysis of
0.0693333333	it is
0.0633333333	appear to
0.0463333333	to be
0.0463333333	use of
0.0403333333	some of
